#  z        dl        sig_dl
0.31437 1325.43978   83.63817
0.27540 1379.43106   97.21099
0.30004 1361.69549   99.63023
0.21735 1068.53807   77.09822
0.20311  921.89190   53.31147
0.19005  853.53238   61.01486
0.29003 1331.31247   93.91197
0.22796 1039.60893   72.04206
0.31032 1386.59618  100.87733
0.13712  749.08310   39.38491
0.08798  385.40736   18.92349
0.08534  375.46547   18.27969
0.19024  954.37708   51.98105
0.09278  418.33095   21.00247
0.12891  586.09768   34.54095
0.26136 1211.60205   88.36942
0.26132 1384.13994  114.02311
0.19570  940.65420   55.99954
0.14723  657.58213   36.89107
0.21154 1199.41645  100.43563
0.17972  813.48584   42.43382
0.19070  974.00234   53.49859
0.33850 1614.13554  120.29358
0.11762  541.81372   26.44082
0.28854 1431.85816  108.09432
0.26377 1269.34595   91.76250
0.24931 1337.61152   86.80903
0.22939 1061.40224   62.13689
0.08575  372.90654   17.23619
0.27631 1496.54576  131.34783
0.36165 1926.99239  146.00571
0.30006 1496.47684  113.90306
0.11659  533.24894   25.44566
0.15474  654.95280   31.52465
0.25010 1287.18212   78.40786
0.25149 1235.37839   72.03734
0.12941  574.67195   28.45459
0.30894 1565.92155  122.10990
0.29859 1525.49223  114.74139
0.27057 1313.34855  102.23289
0.29318 1465.37912   96.99084
0.18988  877.02102   47.86877
0.12368  537.60092   25.30666
0.31262 1500.27199   98.78206
0.30880 1648.95954  117.91405
0.20244  934.39391   59.24206
0.21139  943.93046   55.47721
0.17870  852.11851   45.21436
0.30317 1676.48627  106.29189
0.21432 1033.57025   62.26897
0.32007 1545.68147   96.68157
0.21791 1087.32657   71.24202
0.07523  323.41488   15.17207
0.25740 1331.15921   91.96979
0.18446  837.41358   50.39336
0.11639  511.62293   24.00131
0.06481  266.26250   13.60083
0.10298  480.93900   22.81661
0.04437  171.72361    9.48755
0.16576  686.91025   38.45731
0.16799  725.20368   40.71811
0.17043  749.46266   49.20862
0.12029  567.55767   29.52706
0.13855  636.78086   38.36381
0.23353 1081.75771   76.08394
0.24615 1133.60042   76.46687
0.22259 1164.34049   82.91124
0.17893  805.71231   45.46111
0.19694  925.46500   49.74561
0.22889 1119.15438   73.99751
0.26419 1382.64281  106.03474
0.10340  468.15536   21.71418
0.21313  991.67645   56.29643
0.15680  689.92201   35.08270
0.24317 1258.25887   89.68599
0.23823 1257.82436   83.05038
0.20827  978.11518   59.42357
0.25085 1352.94456  103.38328
0.22510 1052.44643   62.80025
0.28707 1382.96121   91.05800
0.32944 1515.89807   99.81093
0.24575 1190.14534   67.15217
0.11981  603.07316   39.44412
0.32891 1958.97999  189.07826
0.21037  923.23019   51.15635
0.20284  993.07031   53.24231
0.28403 1287.18212   80.83865
0.18046  754.24076   36.70316
0.26043 1295.83588   90.78271
0.14774  657.74870   30.99271
0.32753 1625.66105  103.74340
0.24177 1315.34597   95.05761
0.22308 1086.80093   64.12436
0.18261  925.48631   58.65599
0.15286  708.72867   33.44382
0.13806  617.51854   29.13976
0.20710 1142.85202   97.77836
0.20291  951.32739   52.97613
0.19777  887.58509   52.73800
0.22230 1089.23102   69.83661
0.27307 1291.96277   86.31607
0.18628  901.63342   47.28103
0.15933  657.09778   31.90028
0.21911 1064.33906   61.81858
0.17354  883.56804   52.21444
0.24410 1101.66614   73.52623
0.13366  587.20534   27.31714
0.28313 1376.63878   86.20315
0.17365  823.53109   52.08042
0.19630  980.82155   61.84682
0.36924 2006.82730  132.41237
0.20562  918.67099   51.17877
0.17371  806.17625   47.02828
0.12672  569.11496   28.75614
0.28400 1395.72546   97.36284
0.19358  931.45097   58.39048
0.10036  437.93535   22.48092
0.37386 2046.16193   80.48627
0.11787  525.25476   27.49561
0.19190  904.27391   58.47780
0.23657 1129.45778   75.95332
0.15881  706.69172   40.52502
0.07877  399.50296   20.61844
0.13847  707.73390   43.46973
0.23359 1064.02051   75.32650
0.15670  716.06097   51.07227
0.08833  351.70618   18.81582
0.12995  644.56987   36.11653
0.18223  826.38038   48.05464
0.25654 1196.65787   81.60229
0.21651 1029.10574   64.58333
0.14519  678.78150   43.73928
